Input	Input Type	MGI Gene/Marker ID	Ensembl ID	Uniprot ID
Olfr790	old symbol	MGI:3030624	ENSMUSG00000044025	Q8VGJ3
Olfr796	old symbol	MGI:3030630	ENSMUSG00000052012	Q8VGJ1
Olfr798	old symbol	MGI:3030632	ENSMUSG00000095002	Q7TRH8
Olfr801	old symbol	MGI:3030635	ENSMUSG00000058513	A0A0N4SV99
Olfr801	old symbol	MGI:3030635	ENSMUSG00000058513	Q8VEU1
Olfr805	old symbol	MGI:3030639	ENSMUSG00000096858	A0A0N4SW83
Olfr805	old symbol	MGI:3030639	ENSMUSG00000096858	Q2M2Q2
Olfr805	old symbol	MGI:3030639	ENSMUSG00000096858	Q8VFI4
Olfr812	old symbol	MGI:3030646	ENSMUSG00000049052	Q8VG64
Olfr826	old symbol	MGI:3030660	ENSMUSG00000059862	Q8VFU6
Olfr830	old symbol	MGI:3030664	ENSMUSG00000062868	Q7TRH0
Olfr830	old symbol	MGI:3030664	ENSMUSG00000062868	Q8VFJ5
Olfr874	old symbol	MGI:3030708	ENSMUSG00000063350	Q7TRE6
Olfr875	old symbol	MGI:3030709	ENSMUSG00000058628	A0A0M4U387
Olfr875	old symbol	MGI:3030709	ENSMUSG00000058628	Q7TRE5
Olfr875	old symbol	MGI:3030709	ENSMUSG00000058628	Q8VG17
Olfr876	old symbol	MGI:3030710	ENSMUSG00000066750	Q7TRE4
Olfr876	old symbol	MGI:3030710	ENSMUSG00000066750	Q9EQA7
Olfr883	old symbol	MGI:3030717	ENSMUSG00000094461	Q8VF64
Olfr887	old symbol	MGI:3030721	ENSMUSG00000096167	A0A1D5RLF5
Olfr887	old symbol	MGI:3030721	ENSMUSG00000096167	Q9EQA6
Olfr888	old symbol	MGI:3030722	ENSMUSG00000095527	A0A1D5RLR5
Olfr888	old symbol	MGI:3030722	ENSMUSG00000095527	Q9EQA5
Olfr889	old symbol	MGI:3030723	ENSMUSG00000096356	L7N1Y6
Olfr889	old symbol	MGI:3030723	ENSMUSG00000096356	Q9EQA4
Olfr890	old symbol	MGI:3030724	ENSMUSG00000096409	A0A1L1SSA5
Olfr890	old symbol	MGI:3030724	ENSMUSG00000096409	Q7TRD9
Olfr895	old symbol	MGI:3030729	ENSMUSG00000096427	A0A1D5RM29
Olfr895	old symbol	MGI:3030729	ENSMUSG00000096427	A1L1B2
Olfr895	old symbol	MGI:3030729	ENSMUSG00000096427	L7N210
Olfr895	old symbol	MGI:3030729	ENSMUSG00000096427	Q8VGD5
Olfr898	old symbol	MGI:3030732	ENSMUSG00000094588	A0A1L1SRP1
Olfr898	old symbol	MGI:3030732	ENSMUSG00000094588	L7N1Z5
Olfr898	old symbol	MGI:3030732	ENSMUSG00000094588	Q8VGD1
Olfr9	old symbol	MGI:107600	ENSMUSG00000069430	Q60885
Olfr9	old symbol	MGI:107600	ENSMUSG00000069430	Q14A42
Olfr90	old symbol	MGI:2177473	ENSMUSG00000056600	A0A140LHF9
Olfr90	old symbol	MGI:2177473	ENSMUSG00000056600	Q0VEL5
Olfr911-ps1		No associated gene		
Olfr919	old symbol	MGI:3030753	ENSMUSG00000056961	Q7TRC1
Olfr919	old symbol	MGI:3030753	ENSMUSG00000056961	Q8VF78
Olfr920	old symbol	MGI:3030754	ENSMUSG00000061039	E9Q413
Olfr920	old symbol	MGI:3030754	ENSMUSG00000061039	Q3V3H8
Olfr920	old symbol	MGI:3030754	ENSMUSG00000061039	Q3V3J3
Olfr923	old symbol	MGI:3030757	ENSMUSG00000044798	F6WBH4
Olfr923	old symbol	MGI:3030757	ENSMUSG00000044798	Q7TRB9
Olfr935	old symbol	MGI:3030769	ENSMUSG00000059595	Q8VG16
Olfr958	old symbol	MGI:3030792	ENSMUSG00000050853	Q8VEY3
Olfr96	old symbol	MGI:2177479	ENSMUSG00000064121	Q8VFE3
Olfr960	old symbol	MGI:3030794	ENSMUSG00000059867	Q8VET5
Olfr960	old symbol	MGI:3030794	ENSMUSG00000059867	Q9EQ85
Olfr961	old symbol	MGI:3030795	ENSMUSG00000059106	Q9EQ84
Olfr965	old symbol	MGI:3030799	ENSMUSG00000095839	Q7TRA7
Olfr978	old symbol	MGI:3030812	ENSMUSG00000044292	E9Q985
Olfr978	old symbol	MGI:3030812	ENSMUSG00000044292	Q1WWK9
Olfr979	old symbol	MGI:3030813	ENSMUSG00000059473	Q8VH10
Olfr982	old symbol	MGI:3030816	ENSMUSG00000049010	Q7TRA4
Olfr982	old symbol	MGI:3030816	ENSMUSG00000049010	Q8VGB3
Olfr983	old symbol	MGI:3030817	ENSMUSG00000044205	Q7TRA3
Olfr983	old symbol	MGI:3030817	ENSMUSG00000044205	Q8VG90
Olfr985	old symbol	MGI:3030819	ENSMUSG00000049073	Q8VGB4
Olfr992	old symbol	MGI:3030826	ENSMUSG00000075221	A0A1L1SQP4
Olfr992	old symbol	MGI:3030826	ENSMUSG00000075221	Q1LZI7
Olfr992	old symbol	MGI:3030826	ENSMUSG00000075221	Q8VGC6
